date,inflation,unemployment
1954-01-01,0.338564780669514,3.6
1954-02-01,-0.6257135050019945,3.8
1954-03-01,0.6301994832830294,4.1
1954-04-01,0.5550303269166161,4.7
1954-05-01,-0.5578351047895306,4.6
1954-06-01,-1.0071508901256212,4.5
1954-07-01,-0.8634601677351738,4.6
1954-08-01,-1.010094872761477,5.1
1954-09-01,-1.0841622032289635,5.4
1954-10-01,-1.2331100940884212,4.7
1954-11-01,-0.6488024458131391,4.1
1954-12-01,-0.19708069559275945,3.8
1955-01-01,-0.12390079746900162,3.8
1955-02-01,0.5352320709882649,3.5
1955-03-01,-0.06815589445392393,3.5
1955-04-01,-0.43640470132267417,3.9
1955-05-01,-0.05813428389880926,3.2
1955-06-01,-0.7320562514689236,3.1
1955-07-01,0.48980495388367795,3.0
1955-08-01,0.2677094056132027,2.9
1955-09-01,0.8693811178061147,2.8
1955-10-01,1.2379066247402288,2.9
1955-11-01,0.5643320249505804,3.0
1955-12-01,1.0858508185823006,3.0
1956-01-01,0.3110898954485086,2.9
1956-02-01,0.8331399796365556,3.0
1956-03-01,1.1381893688601108,3.0
1956-04-01,2.122348657510793,2.9
1956-05-01,3.4787178846304827,3.1
1956-06-01,3.400873281723291,3.0
1956-07-01,3.4714197687507102,3.0
1956-08-01,4.379873301731316,2.8
1956-09-01,3.621850101161337,2.9
1956-10-01,3.605591120536419,2.8
1956-11-01,2.836383016482962,3.0
1956-12-01,3.6535277499813756,3.1
1957-01-01,3.7950391089539064,3.0
1957-02-01,3.0961463617794553,2.9
1957-03-01,3.604367049278043,2.6
1957-04-01,3.5136350723719136,3.0
1957-05-01,3.7999651049345524,2.9
1957-06-01,3.4855108785141726,3.1
1957-07-01,3.333791705922256,3.0
1957-08-01,2.8242763841985297,3.1
1957-09-01,2.962876862710559,3.4
1957-10-01,2.587288712086286,3.6
1957-11-01,3.243353250129933,3.9
1957-12-01,3.0173527391490977,4.2
1958-01-01,3.956292124576811,4.6
1958-02-01,4.447744019262328,5.1
1958-03-01,3.8009228532517105,5.5
1958-04-01,3.1674478616194133,6.0
1958-05-01,1.7953611585152085,6.1
1958-06-01,1.7209595534942548,6.2
1958-07-01,0.2907761435820937,6.3
1958-08-01,-0.20067575110342287,6.3
1958-09-01,0.0781606459100704,5.8
1958-10-01,0.4230036293426158,5.5
1958-11-01,0.8390933252572003,5.0
1958-12-01,0.4208276572016623,4.9
1959-01-01,0.42125174552813327,4.6
1959-02-01,0.490419898918901,4.5
1959-03-01,0.6304100514798362,4.1
1959-04-01,0.980251278789421,3.7
1959-05-01,0.9789029275085341,3.6
1959-06-01,1.2547151116208182,3.6
1959-07-01,1.9466003186477299,3.6
1959-08-01,2.574197539731679,3.6
